alpha,k_max_used,d_ms,k_star,k_star_truncated,"C(k*,100)","C(k=5,100)",improve_vs_k5_pct,Delta_vs_best_fixed_pct
0.5,20,100,6,False,105.5748031496063,105.65079365079364,0.07192610539066942,0.07192610539066942
0.6,20,100,7,False,85.84181282286285,87.2717508055854,1.6384889377411611,0.0
0.7,20,100,10,False,65.95412862338277,70.7201555843423,6.739276690752555,0.0
0.8,20,100,15,False,45.8917375765573,56.37956457628589,18.602178073826295,2.6689853002349264
0.9,40,100,26,False,25.428670502030002,44.391421357822594,42.717151818458284,19.030699517346772
