configured_one_way_delay_ms,median_d_eff_one_way_ms,k_theory_geometric,k_theory_calibrated,k_theory_empirical,k_empirical_oracle,cost_empirical_oracle
0,5.672100254741963,1,1,1,1,98.7287206407241
5,10.913261758105364,1,1,1,1,109.22684239102516
20,26.366032245277893,1,1,1,1,134.12473361286004
40,46.05963625363074,1,1,1,1,159.6521700163787
55,61.19554825272644,1,1,1,1,180.8190490225553
83,89.57356575410813,2,2,1,1,221.62793739197747
111,117.78516323829535,3,3,1,4,251.7639605214271
150,157.47656074381666,3,3,2,7,293.72291185856005
