configured_one_way_delay_ms,median_d_eff_one_way_ms,k_theory_geometric,k_theory_calibrated,k_theory_empirical,k_empirical_oracle,cost_empirical_oracle
0,6.423377992177848,1,1,1,1,96.61860915651131
5,11.673670007439796,1,1,1,1,107.0165662461659
20,26.546394248725846,1,1,1,1,138.52148058235696
40,46.86314248829149,1,1,1,1,166.9842988123936
55,61.87026898987824,1,1,1,1,187.1890238198426
83,89.72122648992809,2,2,1,2,222.99849712499542
111,118.27602599078091,2,2,1,3,251.44529267282329
150,157.4359827573062,3,3,2,4,287.6820582022955
