strategy,20,55,111,150
calibrated_geometric_oracle,139.7893387584637,189.76840830431766,264.881961541355,297.5295203874199
empirical_oracle,139.3822589400002,189.30886220382035,269.55417798715644,299.29102446233304
fixed1,139.83696652941615,190.32026556080493,268.39450789827583,321.2078021949482
fixed10,277.5145139266665,319.6508213635383,355.3100190769088,367.074812112204
fixed2,148.556374285189,197.34056910952555,267.38136987592173,302.2572062488677
fixed3,162.23599631402422,207.1744955167786,269.87619321228703,296.99983133379226
fixed4,178.55882849771277,220.72914726121783,278.64455983188236,300.2986496503896
fixed5,195.40459367893936,234.11371801301425,286.802326040822,304.4833548881994
fixed7,227.56855541694165,265.6723387160599,311.4125563902693,323.0794022101749
greedy,140.8318026823698,191.34325965992608,268.01886258288977,320.74427116401955
naive_ucb,142.76968734390852,191.66649149437922,272.29170128598867,298.07183023439103
specdec_pp,212.2344544612733,250.18450790361774,298.331104553424,312.79512925146753
theory_oracle,212.91439082435488,300.5506830617456,354.4641870196426,366.98462534017733
ucb,164.78295037997216,214.78052758123354,276.0415499458319,299.92395889343965
